ticker,name_source,location,exchange_source,currency,asset_class,exchange_code,figi,composite_figi,share_class_figi,security_name,security_type,security_type_2,market_sector,security_description,match_count,status
SCG,SCENTRE GROUP,Australia,Asx - All Markets,USD,Equity,AU,BBG0064P2D05,BBG0064P2D05,BBG0064P2CZ9,SCENTRE GROUP,REIT,REIT,Equity,SCG,1,MATCH
SOON,SONOVA HOLDING AG,Switzerland,SIX Swiss Exchange,USD,Equity,SW,BBG000RSPBY9,BBG000RSPBY9,BBG001S9M3H8,SONOVA HOLDING AG-REG,Common Stock,Common Stock,Equity,SOON,1,MATCH
4543,TERUMO,Japan,Tokyo Stock Exchange,USD,Equity,JP,BBG000BK08X8,BBG000BK08X8,BBG001S6CGR5,TERUMO CORP,Common Stock,Common Stock,Equity,4543,1,MATCH
4523,EISAI,Japan,Tokyo Stock Exchange,USD,Equity,JP,BBG000BG6F83,BBG000BG6F83,BBG001S6BB51,EISAI CO LTD,Common Stock,Common Stock,Equity,4523,1,MATCH
URW,UNIBAIL RODAMCO WE STAPLED UNITS,France,Nyse Euronext - Euronext Paris,USD,Equity,FP,BBG00L1BBGW4,BBG00L1BBGV5,BBG00L16DLC4,UNIBAIL-RODAMCO-WESTFIELD,REIT,REIT,Equity,URW,1,MATCH
GMAB,GENMAB,Denmark,Omx Nordic Exchange Copenhagen A/S,USD,Equity,DC,BBG000BKPC99,BBG000BKPC35,BBG001SCV1W8,GENMAB A/S,Common Stock,Common Stock,Equity,GMAB,1,MATCH
SUZLON,SUZLON ENERGY,India,National Stock Exchange Of India,USD,Equity,IN,,,,,,,,,0,NO_MATCH
6160,BEONE MEDICINES AG,China,Hong Kong Exchanges And Clearing Ltd,USD,Equity,HK,BBG00LLCFBZ4,BBG00LLCFBY5,BBG00LLCFC00,BEONE MEDICINES LTD-H,Common Stock,Common Stock,Equity,6160,1,MATCH
NBIX,NEUROCRINE BIOSCIENCES,United States,NASDAQ,USD,Equity,US,BBG000GJS7C1,BBG000GJS7C1,BBG001S8W4X9,NEUROCRINE BIOSCIENCES INC,Common Stock,Common Stock,Equity,NBIX,1,MATCH
322,TINGYI (CAYMAN ISLANDS) HOLDINGS,China,Hong Kong Exchanges And Clearing Ltd,USD,Equity,HK,BBG000G5QMZ5,BBG000G5QM12,BBG001S8R679,TINGYI (CAYMAN ISLN) HLDG CO,Common Stock,Common Stock,Equity,322,1,MATCH
LI,KLEPIERRE REIT SA,France,Nyse Euronext - Euronext Paris,USD,Equity,FP,BBG000BDX939,BBG000BDX8X8,BBG001S6HXX6,KLEPIERRE,REIT,REIT,Equity,LI,1,MATCH
SALM,SALMAR,Norway,Oslo Bors Asa,USD,Equity,NO,BBG000P3KW39,BBG000P3KVK2,BBG001SQWCZ9,SALMAR ASA,Common Stock,Common Stock,Equity,SALM,1,MATCH
UTHR,UNITED THERAPEUTICS,United States,NASDAQ,USD,Equity,US,BBG000BV4XJ1,BBG000BV4XJ1,BBG001S8RV10,UNITED THERAPEUTICS CORP,Common Stock,Common Stock,Equity,UTHR,1,MATCH
601127,SERES GROUP A,China,Shanghai Stock Exchange,USD,Equity,CH,BBG006M16841,BBG006M16841,BBG006M16832,SERES GROUP CO L-A,Common Stock,Common Stock,Equity,601127,1,MATCH
916,CHINA LONGYUAN POWER GROUP H,China,Hong Kong Exchanges And Clearing Ltd,USD,Equity,HK,BBG000P2MRM9,BBG000P2MR12,BBG001T5G8L6,CHINA LONGYUAN POWER GROUP-H,Common Stock,Common Stock,Equity,916,1,MATCH
ELI,ELIA GROUP SA,Belgium,Nyse Euronext - Euronext Brussels,USD,Equity,BB,BBG000KR9Z28,BBG000KR9YG6,BBG001SJQ7M7,ELIA GROUP SA/NV,Common Stock,Common Stock,Equity,ELI,1,MATCH
SUI,SUN COMMUNITIES REIT INC,United States,NYSE,USD,Equity,US,BBG000BLJWF3,BBG000BLJWF3,BBG001S7HRC0,SUN COMMUNITIES INC,REIT,REIT,Equity,SUI,1,MATCH
1044,HENGAN INTERNATIONAL GROUP,China,Hong Kong Exchanges And Clearing Ltd,USD,Equity,HK,BBG000CJXNB5,BBG000CJXML6,BBG001SC7CN1,HENGAN INTL GROUP CO LTD,Common Stock,Common Stock,Equity,1044,1,MATCH
4519,CHUGAI PHARMACEUTICAL LTD,Japan,Tokyo Stock Exchange,USD,Equity,JP,BBG000BJVLC1,BBG000BJVLC1,BBG001S6CF60,CHUGAI PHARMACEUTICAL CO LTD,Common Stock,Common Stock,Equity,4519,1,MATCH
010120,LS ELECTRIC LTD,Korea (South),Korea Exchange (Stock Market),USD,Equity,KS,BBG000GPVN92,BBG000GPVN92,BBG001S8ZTR8,LS ELECTRIC CO LTD,Common Stock,Common Stock,Equity,010120,1,MATCH
SCA B,SVENSKA CELLULOSA B,Sweden,Nasdaq Omx Nordic,USD,Equity,SS,,,,,,,,,0,NO_MATCH
603806,HANGZHOU FIRST APPLIED MATERIAL LT,China,Shanghai Stock Exchange,USD,Equity,CH,BBG001S0LH96,BBG001S0LH96,BBG001V33FK7,HANGZHOU FIRST APPLIED MAT-A,Common Stock,Common Stock,Equity,603806,1,MATCH
HINDUNILVR,HINDUSTAN UNILEVER LTD,India,National Stock Exchange Of India,USD,Equity,IN,,,,,,,,,0,NO_MATCH
KIMBERA,KIMBERLY-CLARK DE MEXICO CLASS A,Mexico,Bolsa Mexicana De Valores,USD,Equity,MM,BBG000BQCDN2,BBG000BQCDN2,BBG001SCCKH4,KIMBERLY-CLARK DE MEXICO-A,Common Stock,Common Stock,Equity,KIMBERA,1,MATCH
CICT,CAPITALAND INTEGRATED COMMERCIAL T,Singapore,Singapore Exchange,USD,Equity,SP,BBG000HR2RM5,BBG000HR2RC6,BBG001SFLVP4,CAPITALAND INTEGRATED COMMER,REIT,REIT,Equity,CICT,1,MATCH
4507,SHIONOGI,Japan,Tokyo Stock Exchange,USD,Equity,JP,BBG000BJQ7X5,BBG000BJQ7X5,BBG001S6CCT2,SHIONOGI & CO LTD,Common Stock,Common Stock,Equity,4507,1,MATCH
1585,YADEA GROUP HOLDINGS,China,Hong Kong Exchanges And Clearing Ltd,USD,Equity,HK,BBG00CW0KK19,BBG00CW0KJZ5,BBG00CW0KK00,YADEA GROUP HOLDINGS LTD,Common Stock,Common Stock,Equity,1585,1,MATCH
SGRO,SEGRO REIT PLC,United Kingdom,London Stock Exchange,USD,Equity,LN,BBG000BF1HY7,BBG000BF1H40,BBG001S639R1,SEGRO PLC,REIT,REIT,Equity,SGRO,1,MATCH
EDPR,EDP RENEWABLES SA,Portugal,Nyse Euronext - Euronext Lisbon,USD,Equity,PL,BBG000PRGX02,BBG000PRGVZ8,BBG001SM5LL3,EDP RENEWABLES SA,Common Stock,Common Stock,Equity,EDPR,1,MATCH
247540,ECOPRO BM LTD,Korea (South),Korea Exchange (Kosdaq),USD,Equity,KQ,BBG00N36X2X5,BBG00D3DK603,BBG00D3DK621,ECOPRO BM CO LTD,Common Stock,Common Stock,Equity,247540,1,MATCH
CLAR,CAPITALAND ASCENDAS REIT,Singapore,Singapore Exchange,USD,Equity,SP,BBG000PFLWB2,BBG000PFLVY9,BBG001SK0ZT3,CAPITALAND ASCENDAS REIT,REIT,REIT,Equity,CLAR,1,MATCH
001979,CHINA MERCHANTS SHEKOU INDUSTRIAL,China,Shenzhen Stock Exchange,USD,Equity,SZ,,,,,,,,,0,NO_MATCH
VER,VERBUND AG,Austria,Wiener Boerse Ag,USD,Equity,AV,BBG000BFGPZ2,BBG000BFGNH7,BBG001S6PP55,VERBUND AG,Common Stock,Common Stock,Equity,VER,1,MATCH
COV,COVIVIO SA,France,Nyse Euronext - Euronext Paris,USD,Equity,FP,BBG000BJ2HD1,BBG000BJ2H14,BBG001S6CVC8,COVIVIO,REIT,REIT,Equity,COV,1,MATCH
IPN,IPSEN SA,France,Nyse Euronext - Euronext Paris,USD,Equity,FP,BBG000BWH999,BBG000BWH908,BBG001SFCJ35,IPSEN,Common Stock,Common Stock,Equity,IPN,1,MATCH
300274,SUNGROW POWER SUPPLY LTD A,China,Shenzhen Stock Exchange,USD,Equity,SZ,,,,,,,,,0,NO_MATCH
SOBI,SWEDISH ORPHAN BIOVITRUM,Sweden,Nasdaq Omx Nordic,USD,Equity,SS,BBG000C3YBT6,BBG000C3YBM3,BBG001SDX305,SWEDISH ORPHAN BIOVITRUM AB,Common Stock,Common Stock,Equity,SOBI,1,MATCH
12,HENDERSON LAND DEVELOPMENT LTD,Hong Kong,Hong Kong Exchanges And Clearing Ltd,USD,Equity,HK,BBG000BDWF36,BBG000BDWD59,BBG001S6HVB4,HENDERSON LAND DEVELOPMENT,Common Stock,Common Stock,Equity,12,1,MATCH
NRP,NEPI ROCKCASTLE,South Africa,Johannesburg Stock Exchange,USD,Equity,SJ,BBG00H1RHJC8,BBG00GVP5S70,BBG00GVP5S89,NEPI ROCKCASTLE N.V.,Common Stock,Common Stock,Equity,NRP,1,MATCH
ENLT,ENLIGHT RENEWABLE ENERGY,Israel,Tel Aviv Stock Exchange,USD,Equity,IT,BBG000NQKK36,BBG000NQKJ84,BBG001SHX5W6,ENLIGHT RENEWABLE ENERGY LTD,Common Stock,Common Stock,Equity,ENLT,1,MATCH
1801,INNOVENT BIOLOGICS,China,Hong Kong Exchanges And Clearing Ltd,USD,Equity,HK,BBG00M8832B5,BBG00M883298,BBG00M8832C4,INNOVENT BIOLOGICS INC,Common Stock,Common Stock,Equity,1801,1,MATCH
1093,CSPC PHARMACEUTICAL GROUP,China,Hong Kong Exchanges And Clearing Ltd,USD,Equity,HK,BBG000C3N3B5,BBG000C3N1Z3,BBG001S7QWD8,CSPC PHARMACEUTICAL GROUP LT,Common Stock,Common Stock,Equity,1093,1,MATCH
VCX,VICINITY CENTRES,Australia,Asx - All Markets,USD,Equity,AU,BBG000HH1RP5,BBG000HH1RP5,BBG001SM2F48,VICINITY CENTRES,REIT,REIT,Equity,VCX,1,MATCH
9633,NONGFU SPRING LTD H,China,Hong Kong Exchanges And Clearing Ltd,USD,Equity,HK,BBG00WR0QPZ7,BBG00WR0QPX9,BBG00WR0QQ21,NONGFU SPRING CO LTD-H,Common Stock,Common Stock,Equity,9633,1,MATCH
002202,GOLDWIND SCIENCE&amp;TECHNOLOGY LTD A,China,Shenzhen Stock Exchange,USD,Equity,SZ,,,,,,,,,0,NO_MATCH
4151,KYOWA KIRIN LTD,Japan,Tokyo Stock Exchange,USD,Equity,JP,BBG000BG3926,BBG000BG3926,BBG001S6B983,KYOWA KIRIN CO LTD,Common Stock,Common Stock,Equity,4151,1,MATCH
8951,NIPPON BUILDING FUND REIT,Japan,Tokyo Stock Exchange,USD,Equity,JP,BBG000HG80M2,BBG000HG80M2,BBG001S641M2,NIPPON BUILDING FUND INC,REIT,REIT,Equity,8951,1,MATCH
SPSN,SWISS PRIME SITE AG,Switzerland,SIX Swiss Exchange,USD,Equity,SW,BBG000CGWPH1,BBG000CGWPH1,BBG001SF2HF7,SWISS PRIME SITE-REG,Common Stock,Common Stock,Equity,SPSN,1,MATCH
LUPIN,LUPIN,India,National Stock Exchange Of India,USD,Equity,IN,,,,,,,,,0,NO_MATCH
LAND,LAND SECURITIES GROUP REIT PLC,United Kingdom,London Stock Exchange,USD,Equity,LN,BBG000BDPHS3,BBG000BDPHB1,BBG001S62HF7,LAND SECURITIES GROUP PLC,REIT,REIT,Equity,LAND,1,MATCH
301358,HUNAN YUNENG NEW ENERGY BATTERY MA,China,Shenzhen Stock Exchange,USD,Equity,SZ,,,,,,,,,0,NO_MATCH
GFC,GECINA SA,France,Nyse Euronext - Euronext Paris,USD,Equity,FP,BBG000BC2R35,BBG000BC2PZ4,BBG001S68HV3,GECINA SA,REIT,REIT,Equity,GFC,1,MATCH
DEMANT,DEMANT,Denmark,Omx Nordic Exchange Copenhagen A/S,USD,Equity,DC,BBG000J940M0,BBG000J93ZS8,BBG001S6BY88,DEMANT A/S,Common Stock,Common Stock,Equity,DEMANT,1,MATCH
INSM,INSMED,United States,NASDAQ,USD,Equity,US,BBG000BWM5P3,BBG000BWM5P3,BBG001S9SKW7,INSMED INC,Common Stock,Common Stock,Equity,INSM,1,MATCH
2082,ACWA POWER CO,Saudi Arabia,Saudi Stock Exchange,USD,Equity,AB,,,,,,,,,0,NO_MATCH
REC,RECORDATI INDUSTRIA CHIMICA E FARM,Italy,Borsa Italiana,USD,Equity,IM,BBG000BC7PF1,BBG000BC7P43,BBG001S699H6,RECORDATI INDUSTRIA CHIMICA,Common Stock,Common Stock,Equity,REC,1,MATCH
000895,HENAN SHUANGHUI INVESTMENT &amp; DEVEL,China,Shenzhen Stock Exchange,USD,Equity,SZ,,,,,,,,,0,NO_MATCH
NESTLEIND,NESTLE INDIA LTD,India,National Stock Exchange Of India,USD,Equity,IN,,,,,,,,,0,NO_MATCH
600905,CHINA THREE GORGES RENEWABLES(GROU,China,Shanghai Stock Exchange,USD,Equity,CH,BBG000QSRT24,BBG000QSRT24,BBG001T8KQ71,CHINA THREE GORGES RENEWAB-A,Common Stock,Common Stock,Equity,600905,1,MATCH
FIBRAPL14,PROLOGIS PROPERTY MEXICO REIT,Mexico,Bolsa Mexicana De Valores,USD,Equity,MM,,,,,,,,,0,NO_MATCH
LODHA,LODHA DEVELOPERS LTD,India,National Stock Exchange Of India,USD,Equity,IN,BBG000V15XP7,BBG000V15XP7,BBG001T0XNY1,LODHA DEVELOPERS LTD,Common Stock,Common Stock,Equity,LODHA,1,MATCH
6446,PHARMAESSENTIA,Taiwan,Taiwan Stock Exchange,USD,Equity,TT (Taiwan Stock Exchange),BBG0063GF1Z0,BBG0063GF1Y1,BBG0063GF1X2,PHARMAESSENTIA CORP,Common Stock,Common Stock,Equity,6446,1,MATCH
3898,ZHUZHOU CRRC TIMES ELECTRIC LTD H,China,Hong Kong Exchanges And Clearing Ltd,USD,Equity,HK,BBG000C6Z021,BBG000C6YZR8,BBG001SLMP91,ZHUZHOU CRRC TIMES ELECTRI-H,Common Stock,Common Stock,Equity,3898,1,MATCH
3750,CONTEMPORARY AMPEREX TECHNOLOGY CL,China,Hong Kong Exchanges And Clearing Ltd,USD,Equity,HK,BBG01TYB8S12,BBG01TYB8S03,BBG01TYB8S49,CONTEMPORARY AMPEREX TECHN-H,Common Stock,Common Stock,Equity,3750,1,MATCH
COLPAL,COLGATE PALMOLIVE INDIA LTD,India,National Stock Exchange Of India,USD,Equity,IN,,,,,,,,,0,NO_MATCH
3692,HANSOH PHARMACEUTICAL GROUP,China,Hong Kong Exchanges And Clearing Ltd,USD,Equity,HK,BBG00P78Y7N1,BBG00P78Y7M2,BBG00P78Y7P9,HANSOH PHARMACEUTICAL GROUP,Common Stock,Common Stock,Equity,3692,1,MATCH
605117,NINGBO DEYE TECHNOLOGY CORP A,China,Shanghai Stock Exchange,USD,Equity,CH,BBG00PM66Q20,BBG00PM66Q20,BBG00PM66Q39,NINGBO DEYE TECHNOLOGY COR-A,Common Stock,Common Stock,Equity,605117,1,MATCH
688187,ZHUZHOU CRRC TIMES ELECTRIC LTD A,China,Shanghai Stock Exchange,USD,Equity,CH,BBG002FVD0G8,BBG002FVD0G8,BBG002FVD666,ZHUZHOU CRRC TIMES ELECTRI-A,Common Stock,Common Stock,Equity,688187,1,MATCH
688578,SHANGHAI ALLIST PHARMACEUTICALS LT,China,Shanghai Stock Exchange,USD,Equity,CH,BBG007J38S89,BBG007J38S89,BBG007J38S98,SHANGHAI ALLIST PHARMACEUT-A,Common Stock,Common Stock,Equity,688578,1,MATCH
